id,type,question,evaluation_mode,f1,precision,recall,text_to_pandas_pred,query_logic,text_to_pandas_plan,primary_error_type,diagnostic_flags,diagnostic_notes,plan_filter_count,plan_columns,plan_values,plan_aggregation
CF14,ComplexFilter,일반회계에 속하고 직접 지원 형태로 내년에 새로 시작하는 사업 3개만 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,지원형태_직접=TRUE AND 회계_기금={'일반회계'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""회계기금_구분라벨"", ""operator"": ""=="", ""value"": ""일반회계""}, {""column"": ""지원형태_직접"", ""operator"": ""=="", ""value"": true}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,no_result_or_empty_answer,empty or no-answer output,3,회계기금_구분라벨|지원형태_직접|사업성격_신규|사업명,일반회계|True|True,
CF22,ComplexFilter,통신 분야에서 내년에 새로 시작하는 사업 중 2026년 예산이 100억 이상인 사업 3개를 알려줘.,any_3_from_candidate_set,0.5,1.0,0.3333333333333333,AI·SW중심대학,분야명={'통신'} AND 사업성격_신규=TRUE AND 예산총괄표_2026열2(백만원)>=10000 -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""분야명"", ""operator"": ""=="", ""value"": ""통신""}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}, {""column"": ""예산총괄표_2026열1(백만원)"", ""operator"": "">="", ""value"": 100000}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 3, ""return_columns"": [""사업명""]}",column_or_schema_grounding_error,column_or_schema_grounding_error|partial_candidate_coverage_or_output_format_error,budget column mismatch from query_logic ; partial match below threshold,3,분야명|사업성격_신규|예산총괄표_2026열1(백만원)|사업명|예산총괄표_2026열1(백만원),통신|True|100000,
CF23,ComplexFilter,과학기술 분야에서 내년에 새로 시작하는 사업 중 2026년 예산이 100억 원 이상인 것 3개를 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,분야명={'과학기술'} AND 사업성격_신규=TRUE AND 예산총괄표_2026열2(백만원)>=10000 -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""분야명"", ""operator"": ""=="", ""value"": ""과학기술""}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}, {""column"": ""예산총괄표_2026열1(백만원)"", ""operator"": "">="", ""value"": 100000}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; budget column mismatch from query_logic,3,분야명|사업성격_신규|예산총괄표_2026열1(백만원)|사업명|예산총괄표_2026열1(백만원),과학기술|True|100000,
CF24,ComplexFilter,NIA가 시행하는 출연 형태의 사업 중 3개를 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국지능정보사회진흥원'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIA""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,2,실국(기관)|지원형태_출연|사업명,NIA|True,
CF25,ComplexFilter,한국연구재단이 주관하고 출연 방식으로 지원하는 사업 세 가지를 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국연구재단'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국연구재단""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록,2,문서_소관기관|지원형태_출연|사업명,한국연구재단|True,
SQA066,Aggregation,정보통신기획평가원이 시행하는 사업은 총 몇 개인가?,exact_value,0.0,0.0,0.0,70,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 사업명 count,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""정보통신기획평가원""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",numeric_or_aggregation_mismatch,aggregation_operation_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=count,1,사업시행주체_목록|사업명,정보통신기획평가원,count
SQA068,Aggregation,NIA가 주관하는 사업의 개수는 얼마나 되나요?,exact_value,0.0,0.0,0.0,0,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 사업명 count,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""NIA""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",column_or_schema_grounding_error,aggregation_operation_error|column_or_schema_grounding_error|entity_alias_resolution_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=count ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,문서_소관기관|사업명,NIA,count
SQA069,Aggregation,한국산업기술 기획평가원이 주관하는 사업의 개수는?,exact_value,0.0,0.0,0.0,0,사업시행주체_목록 contains {'한국산업기술 기획평가원'} -> unique 사업명 count,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국산업기술 기획평가원""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""문서_소관기관""]}",column_or_schema_grounding_error,aggregation_operation_error|column_or_schema_grounding_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=count ; used 실국/문서소관 instead of 사업시행주체_목록,1,문서_소관기관|문서_소관기관,한국산업기술 기획평가원,count
SQA070,Aggregation,한국보건산업진흥원이 시행하는 사업의 개수는?,exact_value,0.0,0.0,0.0,23,사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 사업명 count,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국보건산업진흥원""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",numeric_or_aggregation_mismatch,aggregation_operation_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=count,1,사업시행주체_목록|사업명,한국보건산업진흥원,count
SQA071,Aggregation,과기정통부에서 출연 형태로 진행하는 사업들의 2026년 총 예산은 얼마인가요?,exact_value,0.0,0.0,0.0,6314680.78,소관={'과학기술 정보통신부'} AND 지원형태_출연=TRUE -> 2026예산 sum,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""sum"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업규모_2026(백만원)""]}",entity_alias_resolution_error,entity_alias_resolution_error|numeric_or_aggregation_mismatch,exact-value question not matched ; abbreviation kept in plan filter value,2,문서_소관기관|지원형태_출연|사업규모_2026(백만원),과기정통부|True,sum
SQA072,Aggregation,과기정통부에서 보조사업으로 진행하는 2026년 예산의 총액은?,exact_value,0.0,0.0,0.0,275286,소관={'과학기술 정보통신부'} AND 지원형태_보조=TRUE -> 2026예산 sum,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""지원형태_보조"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""sum"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""예산총괄표_2026열1(백만원)"", ""예산총괄표_2026열2(백만원)""]}",entity_alias_resolution_error,aggregation_operation_error|entity_alias_resolution_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=sum ; abbreviation kept in plan filter value,2,문서_소관기관|지원형태_보조|예산총괄표_2026열1(백만원)|예산총괄표_2026열2(백만원),과기정통부|True,sum
SQA074,Aggregation,산업부에서 출연 형태로 진행하는 사업들의 2026년 총 예산은 얼마인가요?,exact_value,0.0,0.0,0.0,0,소관={'산업통상부'} AND 지원형태_출연=TRUE -> 2026예산 sum,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""산업부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""sum"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업규모_2026(백만원)""]}",entity_alias_resolution_error,entity_alias_resolution_error|numeric_or_aggregation_mismatch,exact-value question not matched ; abbreviation kept in plan filter value,2,실국(기관)|지원형태_출연|사업규모_2026(백만원),산업부|True,sum
SQA075,Aggregation,과기정통부에서 내년에 새로 시작하는 사업 중 2026년 예산 총액이 가장 큰 사업은?,exact_value,0.0,0.0,0.0,AI·SW중심대학 117960.0,소관={'과학기술 정보통신부'} AND 사업성격_신규=TRUE -> max 2026예산 사업명,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 1, ""return_columns"": [""상단표_사업명"", ""예산총괄표_2026열1(백만원)""]}",entity_alias_resolution_error,aggregation_operation_error|entity_alias_resolution_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=None ; abbreviation kept in plan filter value,2,문서_소관기관|사업성격_신규|상단표_사업명|예산총괄표_2026열1(백만원)|예산총괄표_2026열1(백만원),과기정통부|True,
SQA076,Aggregation,과기정통부에서 2026년에 예산이 가장 많이 배정된 계속 사업은 무엇인가요?,exact_value,0.0,0.0,0.0,,소관={'과학기술 정보통신부'} AND 사업성격_계속=TRUE -> max 2026예산 사업명,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""사업성격_계속"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""max"", ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 1, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,aggregation_operation_error|entity_alias_resolution_error|no_result_or_empty_answer|numeric_or_aggregation_mismatch,empty or no-answer output ; exact-value question not matched ; aggregation expected; plan aggregation=max ; abbreviation kept in plan filter value,2,문서_소관기관|사업성격_계속|사업명|예산총괄표_2026열1(백만원),과기정통부|True,max
SQA077,Aggregation,산업부에서 내년에 새로 시작하는 사업 중 2026년 예산 총액이 가장 큰 사업은?,exact_value,0.0,0.0,0.0,알 수 없음,소관={'산업통상부'} AND 사업성격_신규=TRUE -> max 2026예산 사업명,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""산업부""}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 1, ""return_columns"": [""상단표_사업명"", ""예산총괄표_2026열1(백만원)""]}",no_result_or_empty_answer,aggregation_operation_error|entity_alias_resolution_error|no_result_or_empty_answer|numeric_or_aggregation_mismatch,empty or no-answer output ; exact-value question not matched ; aggregation expected; plan aggregation=None ; abbreviation kept in plan filter value,2,실국(기관)|사업성격_신규|상단표_사업명|예산총괄표_2026열1(백만원)|예산총괄표_2026열1(백만원),산업부|True,
SQA078,Aggregation,과기정통부에서 2026년에 예산이 줄어든 사업은 몇 개야?,exact_value,0.0,0.0,0.0,39,소관={'과학기술 정보통신부'} AND 예산총괄표_증감(백만원)<0 -> unique 사업명 count,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""예산총괄표_증감(백만원)"", ""operator"": ""<"", ""value"": 0}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",entity_alias_resolution_error,aggregation_operation_error|entity_alias_resolution_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=count ; abbreviation kept in plan filter value,2,문서_소관기관|예산총괄표_증감(백만원)|사업명,과기정통부|0,count
SQA079,Aggregation,산업부에서 내년에 예산이 줄어드는 사업은 몇 개야?,exact_value,0.0,0.0,0.0,0,소관={'산업통상부'} AND 예산총괄표_증감(백만원)<0 -> unique 사업명 count,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""산업부""}, {""column"": ""예산총괄표_증감(백만원)"", ""operator"": ""<"", ""value"": 0}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",entity_alias_resolution_error,aggregation_operation_error|entity_alias_resolution_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=count ; abbreviation kept in plan filter value,2,실국(기관)|예산총괄표_증감(백만원)|사업명,산업부|0,count
AGG015,Aggregation,국토부에서 2026년에 예산이 줄어든 사업은 몇 개야?,exact_value,0.0,0.0,0.0,7,소관={'국토교통부'} AND 예산총괄표_증감(백만원)<0 -> unique 사업명 count,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""국토부""}, {""column"": ""예산총괄표_증감(백만원)"", ""operator"": ""<"", ""value"": 0}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""문서_사업명""]}",entity_alias_resolution_error,aggregation_operation_error|entity_alias_resolution_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=count ; abbreviation kept in plan filter value,2,문서_소관기관|예산총괄표_증감(백만원)|문서_사업명,국토부|0,count
