structured_set_id,set,id,type,question,gold,representative_gold,acceptable_answers,answer_limit,candidate_count,evaluation_mode,source_columns,query_logic,revision_note,question_pattern,pattern_motif,question_original,question_noise_level,question_perturbed,noise_type
STR024,Structured_Additional_Cleaned,MH13,MultiHop,한국연구재단이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,과학기술 정보통신부 | 과학기술정보 통신부 | 13,과학기술 정보통신부 | 과학기술정보 통신부 | 13,과학기술 정보통신부 | 과학기술정보 통신부 | 13 | 기후에너지 환경부 | 법무부,3,5,any_3_from_candidate_set,"사업시행주체_목록, 소관 (df_base)",사업시행주체_목록 contains {'한국연구재단'} -> unique 소관 list up to 3,시행주체 한국연구재단 포함 20개 사업의 고유 소관기관 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국연구재단이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,L1_strict,한국연구재단이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,colloquial
STR025,Structured_Additional_Cleaned,MH14,MultiHop,한국보건산업진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,보건복지부 | 산업통상부,보건복지부 | 산업통상부,보건복지부 | 산업통상부 | 식품의약품안 전처 | 식품의약품 안전처,3,4,any_3_from_candidate_set,"사업시행주체_목록, 소관 (df_base)",사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 소관 list up to 3,시행주체 한국보건산업진흥원 포함 21개 사업의 고유 소관기관 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국보건산업진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,L1_strict,한국보건산업진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,colloquial
STR026,Structured_Additional_Cleaned,MH15,MultiHop,KISA가 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,개인정보 보호위원회 | 과학기술 정보통신부 | 과학기술정보 통신부,개인정보 보호위원회 | 과학기술 정보통신부 | 과학기술정보 통신부,개인정보 보호위원회 | 과학기술 정보통신부 | 과학기술정보 통신부 | 행정안전부,3,4,any_3_from_candidate_set,"사업시행주체_목록, 소관 (df_base)",사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 소관 list up to 3,시행주체 한국인터넷진흥원 포함 9개 사업의 고유 소관기관 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국인터넷진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,L1_strict,KISA가 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,abbreviation|colloquial
STR027,Structured_Additional_Cleaned,MH17,MultiHop,한국산업기술진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,산업통상부,산업통상부,산업통상부,1,1,exact_set,"사업시행주체_목록, 소관 (df_base)",사업시행주체_목록 contains {'한국산업기술진흥원'} -> unique 소관 list up to 3,시행주체 한국산업기술진흥원 포함 13개 사업의 고유 소관기관 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국산업기술진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,L1_strict,한국산업기술진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,colloquial
STR028,Structured_Additional_Cleaned,MH18,MultiHop,정보통신기획평가원이 시행하는 사업들이 포함된 단위사업명 세 개를 알려줘.,전파방송산업활성화 | 전파연구지원 | 콘텐츠디바이스기술개발 (일반),전파방송산업활성화 | 전파연구지원 | 콘텐츠디바이스기술개발 (일반),전파방송산업활성화 | 전파연구지원 | 콘텐츠디바이스기술개발 (일반) | SW융합인력양성 | 스마트화산업기반확충(일반) | AI기술개발(일반) | AI반도체경쟁력강화(일반) | ICT산업기반확충(정진) | 정보보안대응체계구축 | ICT산업기반확충(일반) | SW.디지털콘텐츠기술개발 | AI기술개발 | AI반도체경쟁력강화 | 광역경제권거점기관지원 | 콘텐츠진흥 | ICT사업화지원(고특) | 콘텐츠디바이스 기술개발(일반) | 콘텐츠디바이스기술개발(일반) | SW융합인력양성(일반) | 공정경쟁및이용자보호(일반) | 스마트화산업기반확충 | 우정사업연구 | ICT산업기반확충(지특) | 전파방송산업활성화(일반) | 정보보호기술개발(정진) | SW융합인력양성(균특) | 스마트화기술개발(일반) | 군수정책지원 | 정보통신체계운영 | 콘텐츠 진흥,3,30,any_3_from_candidate_set,"사업시행주체_목록, 단위사업명 (df_base)",사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 단위사업명 list up to 3,정보통신기획평가원 시행 사업의 단위사업명 후보 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,정보통신기획평가원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,L1_strict,정보통신기획평가원이 시행하는 사업들이 포함된 단위사업명 세 개를 알려줘.,surface_rewrite
STR029,Structured_Additional_Cleaned,MH19,MultiHop,정보통신산업진흥원이 시행하는 사업들이 포함된 단위사업명을 세 개만 알려줘.,광역경제권산업경쟁력강화 | AI경쟁력강화 | AI경쟁력강화(일반),광역경제권산업경쟁력강화 | AI경쟁력강화 | AI경쟁력강화(일반),광역경제권산업경쟁력강화 | AI경쟁력강화 | AI경쟁력강화(일반) | AI기술개발(지특) | AI반도체경쟁력강화(일반) | SW융합인력양성 | 광역경제권산업경쟁력강화 (지역지원) | AI경쟁력강화(정진) | 광역경제권산업경쟁력강화 (일반) | ICT산업기반확충 | SW산업경쟁력강화(일반) | AI기술개발 | AI기술개발(일반) | 스마트화산업기반확충(지특) | SW융합인력양성(균특) | 스마트화산업기반확충(일반) | AI경쟁력강화(방발),3,17,any_3_from_candidate_set,"사업시행주체_목록, 단위사업명 (df_base)",사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 단위사업명 list up to 3,정보통신산업진흥원 시행 사업의 단위사업명 후보 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,정보통신산업진흥원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,L1_strict,정보통신산업진흥원이 시행하는 사업들이 포함된 단위사업명을 세 개만 알려줘.,surface_rewrite
STR030,Structured_Additional_Cleaned,MH20,MultiHop,한국산업기술기획평가원이 시행하는 사업들이 포함된 단위사업명을 세 개만 알려주세요.,기술개발 | 바이오헬스기술개발 | 우수기술역량강화,기술개발 | 바이오헬스기술개발 | 우수기술역량강화,기술개발 | 바이오헬스기술개발 | 우수기술역량강화 | 제조기반기술개발 | 스마트전자기술개발 | 수송기기기술개발 | 산업기술기반구축 | 소재부품장비기술개발 | 인력양성(일반회계) | 소방안전기술개발 | 재난안전기술개발,3,11,any_3_from_candidate_set,"사업시행주체_목록, 단위사업명 (df_base)",사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 단위사업명 list up to 3,한국산업기술기획평가원 시행 사업의 단위사업명 후보 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국산업기술기획평가원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,L1_strict,한국산업기술기획평가원이 시행하는 사업들이 포함된 단위사업명을 세 개만 알려주세요.,colloquial
STR031,Structured_Additional_Cleaned,MH21,MultiHop,NIA가 시행하는 사업들이 포함된 단위사업명 세 개만 알려줘.,AI경쟁력강화 | 스마트화산업기반확충(일반) | ICT산업기반확충,AI경쟁력강화 | 스마트화산업기반확충(일반) | ICT산업기반확충,AI경쟁력강화 | 스마트화산업기반확충(일반) | ICT산업기반확충 | 데이터산업경쟁력강화 | 단위사업명 | 생산적정보문화조성 | 네트워크기반조성(일반) | 데이터산업경쟁력강화(일반) | 스마트화산업기반확충 | 데이터산업경쟁력강화(정진) | AI기술개발 | 공공서비스신기술적용촉진 (정보화) | AI기술개발(지특) | AI경쟁력강화(방발) | 정보자원관리지원기반확충 | 공공데이터 개방 및 이용활성화 지원(정보화) | 정보자원관리기반확충,3,17,any_3_from_candidate_set,"사업시행주체_목록, 단위사업명 (df_base)",사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 단위사업명 list up to 3,한국지능정보사회진흥원 시행 사업의 단위사업명 후보 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국지능정보사회진흥원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,L2_realistic,NIA가 시행하는 사업들이 포함된 단위사업명 세 개만 알려줘.,abbreviation
STR032,Structured_Additional_Cleaned,MH22,MultiHop,IITP가 진행하는 사업들은 어떤 분야에 속해 있어?,문화및관광 | 통신 | 산업·중소기업 및에너지,문화및관광 | 통신 | 산업·중소기업 및에너지,문화및관광 | 통신 | 산업·중소기업 및에너지 | 국방,3,4,any_3_from_candidate_set,"사업시행주체_목록, 분야명 (df_base)",사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 분야명 list up to 3,정보통신기획평가원 시행 사업의 분야 목록 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,field_sector_reverse,정책 분야별 예산 분포·사업 구성 확인,정보통신기획평가원이 시행하는 사업의 분야명은?,L2_realistic,IITP가 진행하는 사업들은 어떤 분야에 속해 있어?,abbreviation|colloquial
STR033,Structured_Additional_Cleaned,MH23,MultiHop,NIPA가 진행하는 사업들은 어떤 분야에 속해?,통신 | 산업·중소기업 및 에너지 | 과학기술,통신 | 산업·중소기업 및 에너지 | 과학기술,통신 | 산업·중소기업 및 에너지 | 과학기술,3,3,exact_set,"사업시행주체_목록, 분야명 (df_base)",사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 분야명 list up to 3,정보통신산업진흥원 시행 사업의 분야 목록 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,field_sector_reverse,정책 분야별 예산 분포·사업 구성 확인,정보통신산업진흥원이 시행하는 사업의 분야명은?,L2_realistic,NIPA가 진행하는 사업들은 어떤 분야에 속해?,abbreviation|colloquial
STR034,Structured_Additional_Cleaned,MH24,MultiHop,한국산업기술기획평가원이 하는 사업들은 어떤 분야에 속해?,산업ㆍ중소기업 및에너지 | 산업·중소기업 및에너지 | 산업 중소기업 및 에너지,산업ㆍ중소기업 및에너지 | 산업·중소기업 및에너지 | 산업 중소기업 및 에너지,산업ㆍ중소기업 및에너지 | 산업·중소기업 및에너지 | 산업 중소기업 및 에너지 | 산업·중소기업 및 에너지 | 산업·중소기업 및에너지 | 산업ㆍ중소기업 및 에너지 | 공공질서 및 안전 | 공공질서및안전,3,8,any_3_from_candidate_set,"사업시행주체_목록, 분야명 (df_base)",사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 분야명 list up to 3,한국산업기술기획평가원 시행 사업의 분야 목록 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,field_sector_reverse,정책 분야별 예산 분포·사업 구성 확인,한국산업기술기획평가원이 시행하는 사업의 분야명은?,L2_realistic,한국산업기술기획평가원이 하는 사업들은 어떤 분야에 속해?,colloquial
STR035,Structured_Additional_Cleaned,MH25,MultiHop,NIA가 진행하는 사업들은 어떤 분야에 속해?,통신 | 기타 | 일반·지방행정,통신 | 기타 | 일반·지방행정,통신 | 기타 | 일반·지방행정 | 분야명 | 일반-지방행정,3,5,any_3_from_candidate_set,"사업시행주체_목록, 분야명 (df_base)",사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 분야명 list up to 3,한국지능정보사회진흥원 시행 사업의 분야 목록 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,field_sector_reverse,정책 분야별 예산 분포·사업 구성 확인,한국지능정보사회진흥원이 시행하는 사업의 분야명은?,L2_realistic,NIA가 진행하는 사업들은 어떤 분야에 속해?,abbreviation|colloquial
STR036,Structured_Additional_Cleaned,MH26,MultiHop,NRF가 시행하는 사업 이름 세 개만 알려줘.,AI+S&T혁신기술개발(R&D) | AI-네이티브 첨단바이오 자율실험실(R&D) | AIxBio 혁신 연구거점 조성 시범사업(R&D),AI+S&T혁신기술개발(R&D) | AI-네이티브 첨단바이오 자율실험실(R&D) | AIxBio 혁신 연구거점 조성 시범사업(R&D),AI+S&T혁신기술개발(R&D) | AI-네이티브 첨단바이오 자율실험실(R&D) | AIxBio 혁신 연구거점 조성 시범사업(R&D) | AI기반디지털가상핵융합플랫 폼개발(R&D) | 과학기술혁신인재양성(R&D) | 국가 플래그십 초고성능컴퓨팅 인프라 고도화(R&D) | 나노․소재기술개발(R&D) | 디지털 AI세포 구축(R&D) | 민관협력 기반 AI 휴머노이드 원천기술 고도화(R&D) | 바이오·의료기술개발 | 반도체원천기술개발사업 (R&D) | 생체노화 리프로그래밍 원천기술 개발 | 연합학습기반신약개발가속화 프로젝트(K-MELLODDY프로젝트) | 재난안전혁신기술개발(R&D) | 차세대 AI+S&T 기반 기술개발(R&D) | 첨단신약 타겟 발굴 검증 및 기반기술 개발(R&D) | AI기반무탄소에너지핵심기술 개발(R&D) | 무탄소에너지핵심기술개발 | 재범징후의 선제적 감지 및 대응력 강화(R&D),3,19,any_3_from_candidate_set,"사업시행주체_목록, 사업명 (df_base)",사업시행주체_목록 contains {'한국연구재단'} -> unique 사업명 list up to 3,한국연구재단 시행 사업명 후보 19개 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국연구재단이 시행기관인 사업명을 3개 나열하시오.,L2_realistic,NRF가 시행하는 사업 이름 세 개만 알려줘.,abbreviation
STR037,Structured_Additional_Cleaned,MH27,MultiHop,한국보건산업진흥원이 시행하는 사업 중 세 가지 이름을 알려줄래?,AI 모델을 활용한 항체 바이오베터 개발 및 실증(R&D) | AI기반 수술로봇 이노베이션랩 구축 및 활용 사업 | AI응용제품 신속 상용화 지원(보건),AI 모델을 활용한 항체 바이오베터 개발 및 실증(R&D) | AI기반 수술로봇 이노베이션랩 구축 및 활용 사업 | AI응용제품 신속 상용화 지원(보건),AI 모델을 활용한 항체 바이오베터 개발 및 실증(R&D) | AI기반 수술로봇 이노베이션랩 구축 및 활용 사업 | AI응용제품 신속 상용화 지원(보건) | K-AI 신약개발 전임상·임상 모델개발(R&D) | 구조기반 AI신약개발 지원(R&D) | 국가통합바이오빅데이터구축(R&D) | 다기관-멀티모달 연합학습 기반 의료 인공지능 기술 시범모델 개발 | 바이오헬스산업 육성 지원 | 보건의료데이터 상호운용성 지원 기술개발(R&D) | 응급실 특화 AI 기반 임상지원시스템 개발 | 의료 인공지능 특화 융합인재 양성사업(R&D) | 지역거점AX혁신기술개발 | 치매의료기술연구개발사업 | 치매전주기데이터수집및빅데이 터통합시스템구축사업(R&D) | 한국형 수술질향상 프로젝트(K-NSQIP) | 국가통합바이오빅데이터구축 사업(R&D) | 범부처감염병방역체계고도화 R&D사업(R&D) | AI 기반 독성예측 평가기술 개발연구(R&D) | 신기술 적용 식품(푸드테크) 안전기술 지원 (R&D) | 중독자 데이터 기반 마약 중독 재활기술 개발연구(R&D) | 컴퓨터모델링 기반 의료기기 평가체계 구축(R&D),3,21,any_3_from_candidate_set,"사업시행주체_목록, 사업명 (df_base)",사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 사업명 list up to 3,한국보건산업진흥원 시행 사업명 후보 21개 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국보건산업진흥원이 시행기관인 사업명을 3개 나열하시오.,L2_realistic,한국보건산업진흥원이 시행하는 사업 중 세 가지 이름을 알려줄래?,surface_rewrite
STR038,Structured_Additional_Cleaned,MH28,MultiHop,KISA가 시행하는 사업 이름 3개만 알려줄래?,개인정보 안전활용 선도기술 개발(R&D) | 신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) | 안전한 데이터 활용 지원,개인정보 안전활용 선도기술 개발(R&D) | 신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) | 안전한 데이터 활용 지원,개인정보 안전활용 선도기술 개발(R&D) | 신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) | 안전한 데이터 활용 지원 | AI 기반 침해대응체계 구축 | AI응용제품신속상용화지원사업 (보안·네트워크·생활 등) | 건전정보문화조성 | 정보통신 기반보호 강화(정보화) | 해킹바이러스 대응체계 고도화 | (정보보호인프라확충(정보화)),3,9,any_3_from_candidate_set,"사업시행주체_목록, 사업명 (df_base)",사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 사업명 list up to 3,한국인터넷진흥원 시행 사업명 후보 9개 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국인터넷진흥원이 시행기관인 사업명을 3개 나열하시오.,L2_realistic,KISA가 시행하는 사업 이름 3개만 알려줄래?,abbreviation
STR039,Structured_Additional_Cleaned,MH30,MultiHop,한국산업기술진흥원이 시행하는 사업 이름 3개만 알려줘.,No-Code 제조기술 혁신 생태계 구축 | 미래이차전지원료소재실증 플랫폼기반구축 | 산업AI솔루션실증·확산지원,No-Code 제조기술 혁신 생태계 구축 | 미래이차전지원료소재실증 플랫폼기반구축 | 산업AI솔루션실증·확산지원,No-Code 제조기술 혁신 생태계 구축 | 미래이차전지원료소재실증 플랫폼기반구축 | 산업AI솔루션실증·확산지원 | 산업AI용데이터전처리자동화 기술개발(R&D) | 산업혁신기반구축(R&D) | 산업혁신인재성장지원(R&D) | 산업현장문제해결형산업AI 에이전트기술개발(R&D) | 소재부품산업 기술개발기반구축(R&D) | 제조데이터표준·인공지능활용제품 전주기탄소중립지원기술개발(R&D) | 지역전략산업기반고도화(R&D) | 철강·금속AX실증센터구축 | 철강산업AI융합실증허브구축사업 | 한국형Manufacturing-X플랫 폼표준모델개발및실증(R&D),3,13,any_3_from_candidate_set,"사업시행주체_목록, 사업명 (df_base)",사업시행주체_목록 contains {'한국산업기술진흥원'} -> unique 사업명 list up to 3,한국산업기술진흥원 시행 사업명 후보 13개 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국산업기술진흥원이 시행기관인 사업명을 3개 나열하시오.,L2_realistic,한국산업기술진흥원이 시행하는 사업 이름 3개만 알려줘.,surface_rewrite
STR040,Structured_Additional_Cleaned,MH32,MultiHop,한국환경산업기술원이 주관하는 사업 중에서 3개만 알려줄래?,AI응용제품 신속 상용화 지원사업(환경) | 기후변화 적응 수재해 관리 기술개발사업(R&D) | 기후변화 적응을 위한 생태계 복원 및 관리 기술개발사업,AI응용제품 신속 상용화 지원사업(환경) | 기후변화 적응 수재해 관리 기술개발사업(R&D) | 기후변화 적응을 위한 생태계 복원 및 관리 기술개발사업,AI응용제품 신속 상용화 지원사업(환경) | 기후변화 적응 수재해 관리 기술개발사업(R&D) | 기후변화 적응을 위한 생태계 복원 및 관리 기술개발사업 | 디지털 담수화 플랜트 농축수 자원화 기술개발사업(R&D) | 미래변화 대응 수자원 안정성 확보 기술개발사업(R&D) | 블록체인 기반 살생물제 정보 지능형 공정관리기술 개발 사업(R&D) | 수열에너지 활용기술 및 에너지 믹스 기술개발(R&D) | 폐의류 문제해결 플래그십 재활용 기술개발사업 | 환경보건 빅데이터 구축 및 AI 활용 고도화 기술개발사업(R&D),3,9,any_3_from_candidate_set,"사업시행주체_목록, 사업명 (df_base)",사업시행주체_목록 contains {'한국환경산업기술원'} -> unique 사업명 list up to 3,한국환경산업기술원 시행 사업명 후보 9개 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국환경산업기술원이 시행기관인 사업명을 3개 나열하시오.,L2_realistic,한국환경산업기술원이 주관하는 사업 중에서 3개만 알려줄래?,surface_rewrite
STR041,Structured_Additional_Cleaned,MH33,MultiHop,정보통신기획평가원이 주관하는 사업들이 포함된 부문명을 알려줘.,문화예술 | 방송통신 | 정보통신,문화예술 | 방송통신 | 정보통신,문화예술 | 방송통신 | 정보통신 | 산업혁신지원 | 우정 | 전력유지,3,6,any_3_from_candidate_set,"사업시행주체_목록, 부문명 (df_base)",사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 부문명 list,정보통신기획평가원 시행 사업의 부문명 후보 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,정보통신기획평가원이 시행기관인 사업들이 속한 부문명을 나열하시오.,L2_realistic,정보통신기획평가원이 주관하는 사업들이 포함된 부문명을 알려줘.,surface_rewrite
STR042,Structured_Additional_Cleaned,MH34,MultiHop,NIPA가 시행하는 사업들이 포함된 부문명을 알려줘.,정보통신 | 산업혁신지원 | 과학기술 연구지원,정보통신 | 산업혁신지원 | 과학기술 연구지원,정보통신 | 산업혁신지원 | 과학기술 연구지원 | 과학기술 연구개발,3,4,any_3_from_candidate_set,"사업시행주체_목록, 부문명 (df_base)",사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 부문명 list,정보통신산업진흥원 시행 사업의 부문명 후보 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,정보통신산업진흥원이 시행기관인 사업들이 속한 부문명을 나열하시오.,L2_realistic,NIPA가 시행하는 사업들이 포함된 부문명을 알려줘.,abbreviation
STR043,Structured_Additional_Cleaned,RV07,Reverse,복지부에서 출연 형태로 지원하는 사업 중 3개만 알려줘.,AI 모델을 활용한 항체 바이오베터 개발 및 실증(R&D) | AI기반 수술로봇 이노베이션랩 구축 및 활용 사업 | K-AI 신약개발 전임상·임상 모델개발(R&D),AI 모델을 활용한 항체 바이오베터 개발 및 실증(R&D) | AI기반 수술로봇 이노베이션랩 구축 및 활용 사업 | K-AI 신약개발 전임상·임상 모델개발(R&D),AI 모델을 활용한 항체 바이오베터 개발 및 실증(R&D) | AI기반 수술로봇 이노베이션랩 구축 및 활용 사업 | K-AI 신약개발 전임상·임상 모델개발(R&D) | 구조기반 AI신약개발 지원(R&D) | 국가통합바이오빅데이터구축(R&D) | 다기관-멀티모달 연합학습 기반 의료 인공지능 기술 시범모델 개발 | 보건의료데이터 상호운용성 지원 기술개발(R&D) | 응급실 특화 AI 기반 임상지원시스템 개발 | 의료 인공지능 특화 융합인재 양성사업(R&D) | 지역거점AX혁신기술개발 | 치매의료기술연구개발사업 | 치매전주기데이터수집및빅데이 터통합시스템구축사업(R&D),3,12,any_3_from_candidate_set,"소관, 지원형태_출연, 사업명 (df_base)",소관={'보건복지부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,23 보건복지부 × 출연 = 12개 사업 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,보건복지부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,L2_realistic,복지부에서 출연 형태로 지원하는 사업 중 3개만 알려줘.,abbreviation
STR044,Structured_Additional_Cleaned,RV08,Reverse,해수부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,AI기반 스마트 어업관리 시스템 개발(R&D) | 고품질준실시간해양그리드 데이터서비스체계개발(R&D) | 머신러닝 기반 해저면 특성 분류 기술개발(R&D),AI기반 스마트 어업관리 시스템 개발(R&D) | 고품질준실시간해양그리드 데이터서비스체계개발(R&D) | 머신러닝 기반 해저면 특성 분류 기술개발(R&D),AI기반 스마트 어업관리 시스템 개발(R&D) | 고품질준실시간해양그리드 데이터서비스체계개발(R&D) | 머신러닝 기반 해저면 특성 분류 기술개발(R&D) | 민군경AI기반해양영상융복합 분석기술개발(R&D) | 양식생물 생물보안체계 구축을 위한 기술 개발(R&D) | 한국형 연안재해 발생요인 예측기술 개발(R&D) | 해양수산융합형전문인력양성 사업(R&D) | 해양자원탐사를 위한 무인체계 기술개발(R&D),3,8,any_3_from_candidate_set,"소관, 지원형태_출연, 사업명 (df_base)",소관={'해양수산부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,28 해양수산부 × 출연 = 8개 사업 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,해양수산부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,L2_realistic,해수부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,abbreviation
STR045,Structured_Additional_Cleaned,RV09,Reverse,과기정통부에서 국고보조 형태로 지원하는 사업 3개만 알려줘.,A I 융합 OTT 글로벌 진출 확산 지원 | 데이터 활용확산 정책지원 | 디지털배움터(세종),A I 융합 OTT 글로벌 진출 확산 지원 | 데이터 활용확산 정책지원 | 디지털배움터(세종),A I 융합 OTT 글로벌 진출 확산 지원 | 데이터 활용확산 정책지원 | 디지털배움터(세종) | 디지털배움터(자율) | 디지털배움터(제주) | 스마트빌리지 보급 및 확산 | 차세대특화망융합산업 활성화기반구축,3,7,any_3_from_candidate_set,"소관, 지원형태_보조, 사업명 (df_base)",소관={'과학기술 정보통신부'} AND 지원형태_보조=TRUE -> unique 사업명 list up to 3,과학기술 정보통신부 × 보조 = 8개 사업 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,과학기술 정보통신부 소관이면서 지원형태가 보조인 사업을 3개 나열하시오.,L2_realistic,과기정통부에서 국고보조 형태로 지원하는 사업 3개만 알려줘.,abbreviation
STR046,Structured_Additional_Cleaned,RV10,Reverse,중기부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,데이터 인프라구축(정보화) | 스마트 제조혁신 기술개발사업(R&D) | 중소기업 스마트서비스 지원,데이터 인프라구축(정보화) | 스마트 제조혁신 기술개발사업(R&D) | 중소기업 스마트서비스 지원,데이터 인프라구축(정보화) | 스마트 제조혁신 기술개발사업(R&D) | 중소기업 스마트서비스 지원 | 중소제조 특화 Multi AI Agent 개발(R&D) | 지역특화 제조데이터 활성화 | 창업성장기술개발(R&D) | 투·융자연계기술개발(R&D) | 표준공정 기반 공정최적화 기술개발(R&D),3,8,any_3_from_candidate_set,"소관, 지원형태_출연, 사업명 (df_base)",소관={'중소벤처기업부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,중소벤처기업부 × 출연 = 8개 사업 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,중소벤처기업부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,L2_realistic,중기부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,abbreviation
