id,type,question_original,question_perturbed,query_logic,question_noise_level,noise_type,orig_len,pert_len,len_ratio,semantic_flags,needs_review
CF24,ComplexFilter,한국지능정보사회진흥원이 시행기관이면서 지원형태가 출연인 사업을 3개 나열하시오.,NIA가 시행하는 출연 형태의 사업 중 3개를 알려줘.,사업시행주체_목록 contains {'한국지능정보사회진흥원'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L3_perturbed,abbreviation|ellipsis,44,30,0.6818181818181818,,False
CF25,ComplexFilter,한국연구재단이 시행기관이면서 지원형태가 출연인 사업을 3개 나열하시오.,한국연구재단이 주관하고 출연 방식으로 지원하는 사업 세 가지를 알려줘.,사업시행주체_목록 contains {'한국연구재단'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L3_perturbed,surface_rewrite,39,39,1.0,,False
SQA066,Aggregation,사업시행주체_목록 기준 정보통신기획평가원가 시행기관인 사업은 몇 개인가?,정보통신기획평가원이 시행하는 사업은 총 몇 개인가?,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 사업명 count,L3_perturbed,ellipsis,40,28,0.7,,False
SQA067,Aggregation,사업시행주체_목록 기준 정보통신산업진흥원가 시행기관인 사업은 몇 개인가?,"사업을 시행하는 곳이 NIPA인 경우, 몇 개의 사업이 진행 중인가요?",사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 사업명 count,L3_perturbed,abbreviation|colloquial,40,39,0.975,,False
SQA068,Aggregation,사업시행주체_목록 기준 한국지능정보사회진흥원가 시행기관인 사업은 몇 개인가?,NIA가 주관하는 사업의 개수는 얼마나 되나요?,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 사업명 count,L3_perturbed,abbreviation|colloquial|ellipsis,42,26,0.6190476190476191,,False
SQA069,Aggregation,사업시행주체_목록 기준 한국산업기술 기획평가원가 시행기관인 사업은 몇 개인가?,한국산업기술 기획평가원이 주관하는 사업의 개수는?,사업시행주체_목록 contains {'한국산업기술 기획평가원'} -> unique 사업명 count,L3_perturbed,ellipsis,43,27,0.627906976744186,,False
SQA070,Aggregation,사업시행주체_목록 기준 한국보건산업진흥원가 시행기관인 사업은 몇 개인가?,한국보건산업진흥원이 시행하는 사업의 개수는?,사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 사업명 count,L3_perturbed,ellipsis,40,24,0.6,,False
SQA071,Aggregation,과학기술 정보통신부 소관이면서 지원형태가 출연인 사업들의 2026년 예산 합계는?,과기정통부에서 출연 형태로 진행하는 사업들의 2026년 총 예산은 얼마인가요?,소관={'과학기술 정보통신부'} AND 지원형태_출연=TRUE -> 2026예산 sum,L3_perturbed,abbreviation|colloquial,45,43,0.9555555555555556,,False
SQA072,Aggregation,과학기술 정보통신부 소관이면서 지원형태가 보조인 사업들의 2026년 예산 합계는?,과기정통부에서 보조사업으로 진행하는 2026년 예산의 총액은?,소관={'과학기술 정보통신부'} AND 지원형태_보조=TRUE -> 2026예산 sum,L3_perturbed,abbreviation,45,34,0.7555555555555555,,False
SQA073,Aggregation,과학기술 정보통신부 소관이면서 지원형태가 출자인 사업들의 2026년 예산 합계는?,과기정통부에서 출자 형태로 진행하는 사업들의 2026년 총예산은 얼마야?,소관={'과학기술 정보통신부'} AND 지원형태_출자=TRUE -> 2026예산 sum,L3_perturbed,abbreviation|colloquial,45,40,0.8888888888888888,,False
SQA074,Aggregation,산업통상부 소관이면서 지원형태가 출연인 사업들의 2026년 예산 합계는?,산업부에서 출연 형태로 진행하는 사업들의 2026년 총 예산은 얼마인가요?,소관={'산업통상부'} AND 지원형태_출연=TRUE -> 2026예산 sum,L3_perturbed,abbreviation|colloquial,40,41,1.025,,False
SQA075,Aggregation,과학기술 정보통신부 소관 신규 사업 중 2026년 예산이 가장 큰 사업은?,과기정통부에서 내년에 새로 시작하는 사업 중 2026년 예산 총액이 가장 큰 사업은?,소관={'과학기술 정보통신부'} AND 사업성격_신규=TRUE -> max 2026예산 사업명,L3_perturbed,abbreviation,41,47,1.146341463414634,,False
SQA076,Aggregation,과학기술 정보통신부 소관 계속 사업 중 2026년 예산이 가장 큰 사업은?,과기정통부에서 2026년에 예산이 가장 많이 배정된 계속 사업은 무엇인가요?,소관={'과학기술 정보통신부'} AND 사업성격_계속=TRUE -> max 2026예산 사업명,L3_perturbed,abbreviation|colloquial,41,42,1.024390243902439,,False
SQA077,Aggregation,산업통상부 소관 신규 사업 중 2026년 예산이 가장 큰 사업은?,산업부에서 내년에 새로 시작하는 사업 중 2026년 예산 총액이 가장 큰 사업은?,소관={'산업통상부'} AND 사업성격_신규=TRUE -> max 2026예산 사업명,L3_perturbed,abbreviation,36,45,1.25,,False
SQA078,Aggregation,과학기술 정보통신부 소관 사업 중 2026년 예산이 전년 대비 감소한 사업은 몇 개인가?,과기정통부에서 2026년에 예산이 줄어든 사업은 몇 개야?,소관={'과학기술 정보통신부'} AND 예산총괄표_증감(백만원)<0 -> unique 사업명 count,L3_perturbed,abbreviation|ellipsis,49,32,0.6530612244897959,,False
SQA079,Aggregation,산업통상부 소관 사업 중 2026년 예산이 전년 대비 감소한 사업은 몇 개인가?,산업부에서 내년에 예산이 줄어드는 사업은 몇 개야?,소관={'산업통상부'} AND 예산총괄표_증감(백만원)<0 -> unique 사업명 count,L3_perturbed,abbreviation|ellipsis,44,28,0.6363636363636364,number_missing:2026,True
AGG015,Aggregation,국토교통부 소관 사업 중 2026년 예산이 전년 대비 감소한 사업은 몇 개인가?,국토부에서 2026년에 예산이 줄어든 사업은 몇 개야?,소관={'국토교통부'} AND 예산총괄표_증감(백만원)<0 -> unique 사업명 count,L3_perturbed,abbreviation|ellipsis,44,30,0.6818181818181818,,False
